Date,Close
2/1/2022 16:00,12.39
2/2/2022 16:00,12.53
2/3/2022 16:00,12.32
2/4/2022 16:00,12.6
2/7/2022 16:00,12.68
2/8/2022 16:00,12.53
2/9/2022 16:00,12.65
2/10/2022 16:00,12.31
2/11/2022 16:00,12.4
2/14/2022 16:00,12.47
2/15/2022 16:00,12.83
2/16/2022 16:00,12.71
2/17/2022 16:00,12.65
2/18/2022 16:00,12.78
2/22/2022 16:00,12.62
2/23/2022 16:00,12.52
2/24/2022 16:00,12.47
2/25/2022 16:00,12.44
2/28/2022 16:00,12.71
3/1/2022 16:00,12.55
3/2/2022 16:00,12.66
3/3/2022 16:00,12.72
3/4/2022 16:00,12.67
3/7/2022 16:00,12.32
3/8/2022 16:00,12.14
3/9/2022 16:00,12.62
3/10/2022 16:00,12.5
3/11/2022 16:00,12.5
3/14/2022 16:00,12.25
3/15/2022 16:00,12.24
3/16/2022 16:00,12.76
3/17/2022 16:00,12.86
3/18/2022 16:00,12.91
3/21/2022 16:00,12.86
3/22/2022 16:00,12.92
3/23/2022 16:00,13.14
3/24/2022 16:00,13.24
3/25/2022 16:00,13.42
3/28/2022 16:00,13.43
3/29/2022 16:00,13.52
3/30/2022 16:00,12.84
3/31/2022 16:00,12.58
4/1/2022 16:00,12.97
4/4/2022 16:00,13.07
4/5/2022 16:00,12.67
4/6/2022 16:00,12.77
4/7/2022 16:00,12.78
4/8/2022 16:00,12.84
4/11/2022 16:00,12.67
4/12/2022 16:00,12.74
4/13/2022 16:00,12.9
4/14/2022 16:00,12.68
4/18/2022 16:00,12.55
4/19/2022 16:00,12.65
4/20/2022 16:00,12.49
4/21/2022 16:00,12.34
4/22/2022 16:00,12.26
4/25/2022 16:00,12.37
4/26/2022 16:00,11.85
4/27/2022 16:00,11.9
4/28/2022 16:00,11.5
4/29/2022 16:00,11.4
